node_id,peak_id,subset_size,is_peak,terminal_basin_size,peak_basin_size,drug_combo,C_Wall,F_Acid,DNA_gyr,30s,50s
DOX3+TMP3,DOX3+TMP3,2,True,3186,3186.0,DOX+TMP,0,1,0,0,1
EMPTY,DOX3+TMP3,0,False,3186,,EMPTY,0,0,0,0,0
DOX3,DOX3+TMP3,1,False,3186,,DOX,0,0,0,0,1
AMP1,DOX3+TMP3,1,False,3186,,AMP,1,0,0,0,0
AMP2,DOX3+TMP3,1,False,3186,,AMP,1,0,0,0,0
AMP3,DOX3+TMP3,1,False,3186,,AMP,1,0,0,0,0
CPR1,DOX3+TMP3,1,False,3186,,CPR,0,0,1,0,0
CPR2,DOX3+TMP3,1,False,3186,,CPR,0,0,1,0,0
CPR3,DOX3+TMP3,1,False,3186,,CPR,0,0,1,0,0
ERY1,DOX3+TMP3,1,False,3186,,ERY,0,0,0,0,1
ERY2,DOX3+TMP3,1,False,3186,,ERY,0,0,0,0,1
TMP3,DOX3+TMP3,1,False,3186,,TMP,0,1,0,0,0
AMP1+CPR1,DOX3+TMP3,2,False,3186,,AMP+CPR,1,0,1,0,0
AMP1+CPR2,DOX3+TMP3,2,False,3186,,AMP+CPR,1,0,1,0,0
AMP1+CPR3,DOX3+TMP3,2,False,3186,,AMP+CPR,1,0,1,0,0
AMP2+CPR1,DOX3+TMP3,2,False,3186,,AMP+CPR,1,0,1,0,0
AMP2+CPR2,DOX3+TMP3,2,False,3186,,AMP+CPR,1,0,1,0,0
AMP2+CPR3,DOX3+TMP3,2,False,3186,,AMP+CPR,1,0,1,0,0
AMP3+CPR1,DOX3+TMP3,2,False,3186,,AMP+CPR,1,0,1,0,0
AMP3+CPR2,DOX3+TMP3,2,False,3186,,AMP+CPR,1,0,1,0,0
AMP3+CPR3,DOX3+TMP3,2,False,3186,,AMP+CPR,1,0,1,0,0
AMP1+ERY1,DOX3+TMP3,2,False,3186,,AMP+ERY,1,0,0,0,1
AMP1+ERY2,DOX3+TMP3,2,False,3186,,AMP+ERY,1,0,0,0,1
AMP2+ERY1,DOX3+TMP3,2,False,3186,,AMP+ERY,1,0,0,0,1
AMP2+ERY2,DOX3+TMP3,2,False,3186,,AMP+ERY,1,0,0,0,1
AMP3+ERY1,DOX3+TMP3,2,False,3186,,AMP+ERY,1,0,0,0,1
AMP3+ERY2,DOX3+TMP3,2,False,3186,,AMP+ERY,1,0,0,0,1
AMP1+DOX3,DOX3+TMP3,2,False,3186,,AMP+DOX,1,0,0,0,1
AMP2+DOX3,DOX3+TMP3,2,False,3186,,AMP+DOX,1,0,0,0,1
AMP3+DOX3,DOX3+TMP3,2,False,3186,,AMP+DOX,1,0,0,0,1
AMP1+TMP3,DOX3+TMP3,2,False,3186,,AMP+TMP,1,1,0,0,0
AMP2+TMP3,DOX3+TMP3,2,False,3186,,AMP+TMP,1,1,0,0,0
AMP3+TMP3,DOX3+TMP3,2,False,3186,,AMP+TMP,1,1,0,0,0
CPR1+ERY1,DOX3+TMP3,2,False,3186,,CPR+ERY,0,0,1,0,1
CPR1+ERY2,DOX3+TMP3,2,False,3186,,CPR+ERY,0,0,1,0,1
CPR2+ERY1,DOX3+TMP3,2,False,3186,,CPR+ERY,0,0,1,0,1
CPR2+ERY2,DOX3+TMP3,2,False,3186,,CPR+ERY,0,0,1,0,1
CPR3+ERY1,DOX3+TMP3,2,False,3186,,CPR+ERY,0,0,1,0,1
CPR1+DOX3,DOX3+TMP3,2,False,3186,,CPR+DOX,0,0,1,0,1
CPR2+DOX3,DOX3+TMP3,2,False,3186,,CPR+DOX,0,0,1,0,1
CPR2+DOX3+TMP3,DOX3+TMP3,3,False,3186,,CPR+DOX+TMP,0,1,1,0,1
CPR3+DOX3,DOX3+TMP3,2,False,3186,,CPR+DOX,0,0,1,0,1
DOX3+ERY1,DOX3+TMP3,2,False,3186,,DOX+ERY,0,0,0,0,1
DOX3+ERY2,DOX3+TMP3,2,False,3186,,DOX+ERY,0,0,0,0,1
ERY1+TMP3,DOX3+TMP3,2,False,3186,,ERY+TMP,0,1,0,0,1
ERY2+TMP3,DOX3+TMP3,2,False,3186,,ERY+TMP,0,1,0,0,1
ERY3+TMP3,DOX3+TMP3,2,False,3186,,ERY+TMP,0,1,0,0,1
DOX3+ERY3+TMP3,DOX3+TMP3,3,False,3186,,DOX+ERY+TMP,0,1,0,0,1
DOX3+TMP2,DOX3+TMP3,2,False,3186,,DOX+TMP,0,1,0,0,1
AMP1+CPR1+ERY1,DOX3+TMP3,3,False,3186,,AMP+CPR+ERY,1,0,1,0,1
AMP1+CPR1+ERY2,DOX3+TMP3,3,False,3186,,AMP+CPR+ERY,1,0,1,0,1
AMP1+CPR2+ERY1,DOX3+TMP3,3,False,3186,,AMP+CPR+ERY,1,0,1,0,1
AMP1+CPR2+ERY2,DOX3+TMP3,3,False,3186,,AMP+CPR+ERY,1,0,1,0,1
AMP1+CPR3+ERY1,DOX3+TMP3,3,False,3186,,AMP+CPR+ERY,1,0,1,0,1
AMP2+CPR1+ERY1,DOX3+TMP3,3,False,3186,,AMP+CPR+ERY,1,0,1,0,1
AMP2+CPR1+ERY2,DOX3+TMP3,3,False,3186,,AMP+CPR+ERY,1,0,1,0,1
AMP2+CPR2+ERY2,DOX3+TMP3,3,False,3186,,AMP+CPR+ERY,1,0,1,0,1
AMP2+CPR3+ERY1,DOX3+TMP3,3,False,3186,,AMP+CPR+ERY,1,0,1,0,1
AMP3+CPR1+ERY1,DOX3+TMP3,3,False,3186,,AMP+CPR+ERY,1,0,1,0,1
AMP3+CPR2+ERY2,DOX3+TMP3,3,False,3186,,AMP+CPR+ERY,1,0,1,0,1
AMP1+CPR1+DOX3,DOX3+TMP3,3,False,3186,,AMP+CPR+DOX,1,0,1,0,1
AMP1+CPR2+DOX3,DOX3+TMP3,3,False,3186,,AMP+CPR+DOX,1,0,1,0,1
AMP1+CPR3+DOX3,DOX3+TMP3,3,False,3186,,AMP+CPR+DOX,1,0,1,0,1
AMP2+CPR1+DOX3,DOX3+TMP3,3,False,3186,,AMP+CPR+DOX,1,0,1,0,1
AMP2+CPR2+DOX3,DOX3+TMP3,3,False,3186,,AMP+CPR+DOX,1,0,1,0,1
AMP3+CPR1+DOX3,DOX3+TMP3,3,False,3186,,AMP+CPR+DOX,1,0,1,0,1
AMP3+CPR2+DOX3,DOX3+TMP3,3,False,3186,,AMP+CPR+DOX,1,0,1,0,1
AMP3+CPR2+DOX3+TMP3,DOX3+TMP3,4,False,3186,,AMP+CPR+DOX+TMP,1,1,1,0,1
AMP1+CPR2+TMP3,DOX3+TMP3,3,False,3186,,AMP+CPR+TMP,1,1,1,0,0
AMP1+CPR2+DOX3+TMP3,DOX3+TMP3,4,False,3186,,AMP+CPR+DOX+TMP,1,1,1,0,1
AMP3+CPR2+TMP3,DOX3+TMP3,3,False,3186,,AMP+CPR+TMP,1,1,1,0,0
AMP1+DOX3+ERY1,DOX3+TMP3,3,False,3186,,AMP+DOX+ERY,1,0,0,0,1
AMP1+DOX3+ERY2,DOX3+TMP3,3,False,3186,,AMP+DOX+ERY,1,0,0,0,1
AMP2+DOX3+ERY1,DOX3+TMP3,3,False,3186,,AMP+DOX+ERY,1,0,0,0,1
AMP2+DOX3+ERY2,DOX3+TMP3,3,False,3186,,AMP+DOX+ERY,1,0,0,0,1
AMP3+DOX3+ERY1,DOX3+TMP3,3,False,3186,,AMP+DOX+ERY,1,0,0,0,1
AMP3+DOX3+ERY2,DOX3+TMP3,3,False,3186,,AMP+DOX+ERY,1,0,0,0,1
AMP1+ERY1+TMP3,DOX3+TMP3,3,False,3186,,AMP+ERY+TMP,1,1,0,0,1
AMP1+ERY2+TMP3,DOX3+TMP3,3,False,3186,,AMP+ERY+TMP,1,1,0,0,1
AMP1+ERY3+TMP3,DOX3+TMP3,3,False,3186,,AMP+ERY+TMP,1,1,0,0,1
AMP2+ERY1+TMP3,DOX3+TMP3,3,False,3186,,AMP+ERY+TMP,1,1,0,0,1
AMP2+ERY2+TMP3,DOX3+TMP3,3,False,3186,,AMP+ERY+TMP,1,1,0,0,1
AMP2+ERY3+TMP3,DOX3+TMP3,3,False,3186,,AMP+ERY+TMP,1,1,0,0,1
AMP3+ERY1+TMP3,DOX3+TMP3,3,False,3186,,AMP+ERY+TMP,1,1,0,0,1
AMP3+ERY2+TMP3,DOX3+TMP3,3,False,3186,,AMP+ERY+TMP,1,1,0,0,1
AMP3+ERY3+TMP3,DOX3+TMP3,3,False,3186,,AMP+ERY+TMP,1,1,0,0,1
AMP1+DOX3+TMP2,DOX3+TMP3,3,False,3186,,AMP+DOX+TMP,1,1,0,0,1
AMP1+DOX3+TMP3,DOX3+TMP3,3,False,3186,,AMP+DOX+TMP,1,1,0,0,1
AMP2+DOX3+TMP2,DOX3+TMP3,3,False,3186,,AMP+DOX+TMP,1,1,0,0,1
AMP2+DOX3+TMP3,DOX3+TMP3,3,False,3186,,AMP+DOX+TMP,1,1,0,0,1
AMP3+DOX3+TMP2,DOX3+TMP3,3,False,3186,,AMP+DOX+TMP,1,1,0,0,1
AMP3+DOX3+TMP3,DOX3+TMP3,3,False,3186,,AMP+DOX+TMP,1,1,0,0,1
CPR2+DOX3+ERY1,DOX3+TMP3,3,False,3186,,CPR+DOX+ERY,0,0,1,0,1
CPR1+ERY1+TMP1,DOX3+TMP3,3,False,3186,,CPR+ERY+TMP,0,1,1,0,1
CPR2+ERY3+TMP3,DOX3+TMP3,3,False,3186,,CPR+ERY+TMP,0,1,1,0,1
DOX3+ERY1+TMP2,DOX3+TMP3,3,False,3186,,DOX+ERY+TMP,0,1,0,0,1
DOX3+ERY1+TMP3,DOX3+TMP3,3,False,3186,,DOX+ERY+TMP,0,1,0,0,1
DOX3+ERY2+TMP2,DOX3+TMP3,3,False,3186,,DOX+ERY+TMP,0,1,0,0,1
DOX3+ERY2+TMP3,DOX3+TMP3,3,False,3186,,DOX+ERY+TMP,0,1,0,0,1
AMP2+CPR2+DOX3+TMP3,DOX3+TMP3,4,False,3186,,AMP+CPR+DOX+TMP,1,1,1,0,1
AMP1+DOX3+ERY1+TMP3,DOX3+TMP3,4,False,3186,,AMP+DOX+ERY+TMP,1,1,0,0,1
AMP1+DOX3+ERY3+TMP3,DOX3+TMP3,4,False,3186,,AMP+DOX+ERY+TMP,1,1,0,0,1
AMP2+DOX3+ERY3+TMP3,DOX3+TMP3,4,False,3186,,AMP+DOX+ERY+TMP,1,1,0,0,1
AMP3+DOX3+ERY1+TMP3,DOX3+TMP3,4,False,3186,,AMP+DOX+ERY+TMP,1,1,0,0,1
CPR2+DOX3+ERY1+TMP3,DOX3+TMP3,4,False,3186,,CPR+DOX+ERY+TMP,0,1,1,0,1
CPR2+DOX3+ERY2+TMP3,DOX3+TMP3,4,False,3186,,CPR+DOX+ERY+TMP,0,1,1,0,1
CPR2+DOX3+ERY3+TMP3,DOX3+TMP3,4,False,3186,,CPR+DOX+ERY+TMP,0,1,1,0,1
AMP1+CPR2+DOX3+ERY1+TMP3,DOX3+TMP3,5,False,3186,,AMP+CPR+DOX+ERY+TMP,1,1,1,0,1
AMP3+CPR2+DOX3+ERY1+TMP3,DOX3+TMP3,5,False,3186,,AMP+CPR+DOX+ERY+TMP,1,1,1,0,1
AMP3+CPR2+DOX3+ERY2+TMP3,DOX3+TMP3,5,False,3186,,AMP+CPR+DOX+ERY+TMP,1,1,1,0,1
FUS1,DOX3+TMP3,1,False,3186,,FUS,0,0,0,1,0
FUS2,DOX3+TMP3,1,False,3186,,FUS,0,0,0,1,0
AMP1+FUS1,DOX3+TMP3,2,False,3186,,AMP+FUS,1,0,0,1,0
AMP1+FUS2,DOX3+TMP3,2,False,3186,,AMP+FUS,1,0,0,1,0
AMP2+FUS1,DOX3+TMP3,2,False,3186,,AMP+FUS,1,0,0,1,0
AMP2+FUS2,DOX3+TMP3,2,False,3186,,AMP+FUS,1,0,0,1,0
AMP3+FUS1,DOX3+TMP3,2,False,3186,,AMP+FUS,1,0,0,1,0
AMP3+FUS2,DOX3+TMP3,2,False,3186,,AMP+FUS,1,0,0,1,0
CPR1+FUS1,DOX3+TMP3,2,False,3186,,CPR+FUS,0,0,1,1,0
CPR1+FUS2,DOX3+TMP3,2,False,3186,,CPR+FUS,0,0,1,1,0
CPR2+FUS1,DOX3+TMP3,2,False,3186,,CPR+FUS,0,0,1,1,0
CPR2+FUS2,DOX3+TMP3,2,False,3186,,CPR+FUS,0,0,1,1,0
CPR3+FUS1,DOX3+TMP3,2,False,3186,,CPR+FUS,0,0,1,1,0
CPR3+FUS2,DOX3+TMP3,2,False,3186,,CPR+FUS,0,0,1,1,0
ERY1+FUS1,DOX3+TMP3,2,False,3186,,ERY+FUS,0,0,0,1,1
ERY1+FUS2,DOX3+TMP3,2,False,3186,,ERY+FUS,0,0,0,1,1
ERY2+FUS1,DOX3+TMP3,2,False,3186,,ERY+FUS,0,0,0,1,1
ERY2+FUS2,DOX3+TMP3,2,False,3186,,ERY+FUS,0,0,0,1,1
DOX3+FUS1,DOX3+TMP3,2,False,3186,,DOX+FUS,0,0,0,1,1
DOX3+FUS2,DOX3+TMP3,2,False,3186,,DOX+FUS,0,0,0,1,1
AMP1+CPR1+FUS1,DOX3+TMP3,3,False,3186,,AMP+CPR+FUS,1,0,1,1,0
AMP1+CPR1+FUS2,DOX3+TMP3,3,False,3186,,AMP+CPR+FUS,1,0,1,1,0
AMP1+CPR2+FUS1,DOX3+TMP3,3,False,3186,,AMP+CPR+FUS,1,0,1,1,0
AMP1+CPR2+FUS2,DOX3+TMP3,3,False,3186,,AMP+CPR+FUS,1,0,1,1,0
AMP1+CPR3+FUS1,DOX3+TMP3,3,False,3186,,AMP+CPR+FUS,1,0,1,1,0
AMP1+CPR3+FUS2,DOX3+TMP3,3,False,3186,,AMP+CPR+FUS,1,0,1,1,0
AMP2+CPR1+FUS1,DOX3+TMP3,3,False,3186,,AMP+CPR+FUS,1,0,1,1,0
AMP2+CPR1+FUS2,DOX3+TMP3,3,False,3186,,AMP+CPR+FUS,1,0,1,1,0
AMP2+CPR2+FUS1,DOX3+TMP3,3,False,3186,,AMP+CPR+FUS,1,0,1,1,0
AMP2+CPR2+FUS2,DOX3+TMP3,3,False,3186,,AMP+CPR+FUS,1,0,1,1,0
AMP2+CPR3+FUS1,DOX3+TMP3,3,False,3186,,AMP+CPR+FUS,1,0,1,1,0
AMP2+CPR3+FUS2,DOX3+TMP3,3,False,3186,,AMP+CPR+FUS,1,0,1,1,0
AMP3+CPR1+FUS1,DOX3+TMP3,3,False,3186,,AMP+CPR+FUS,1,0,1,1,0
AMP3+CPR1+FUS2,DOX3+TMP3,3,False,3186,,AMP+CPR+FUS,1,0,1,1,0
AMP3+CPR2+FUS1,DOX3+TMP3,3,False,3186,,AMP+CPR+FUS,1,0,1,1,0
AMP3+CPR2+FUS2,DOX3+TMP3,3,False,3186,,AMP+CPR+FUS,1,0,1,1,0
AMP3+CPR3+FUS1,DOX3+TMP3,3,False,3186,,AMP+CPR+FUS,1,0,1,1,0
AMP3+CPR3+FUS2,DOX3+TMP3,3,False,3186,,AMP+CPR+FUS,1,0,1,1,0
AMP1+ERY1+FUS1,DOX3+TMP3,3,False,3186,,AMP+ERY+FUS,1,0,0,1,1
AMP1+ERY1+FUS2,DOX3+TMP3,3,False,3186,,AMP+ERY+FUS,1,0,0,1,1
AMP1+ERY2+FUS1,DOX3+TMP3,3,False,3186,,AMP+ERY+FUS,1,0,0,1,1
AMP1+ERY2+FUS2,DOX3+TMP3,3,False,3186,,AMP+ERY+FUS,1,0,0,1,1
AMP2+ERY1+FUS1,DOX3+TMP3,3,False,3186,,AMP+ERY+FUS,1,0,0,1,1
AMP2+ERY1+FUS2,DOX3+TMP3,3,False,3186,,AMP+ERY+FUS,1,0,0,1,1
AMP2+ERY2+FUS1,DOX3+TMP3,3,False,3186,,AMP+ERY+FUS,1,0,0,1,1
AMP2+ERY2+FUS2,DOX3+TMP3,3,False,3186,,AMP+ERY+FUS,1,0,0,1,1
AMP3+ERY1+FUS1,DOX3+TMP3,3,False,3186,,AMP+ERY+FUS,1,0,0,1,1
AMP3+ERY1+FUS2,DOX3+TMP3,3,False,3186,,AMP+ERY+FUS,1,0,0,1,1
AMP3+ERY2+FUS1,DOX3+TMP3,3,False,3186,,AMP+ERY+FUS,1,0,0,1,1
AMP3+ERY2+FUS2,DOX3+TMP3,3,False,3186,,AMP+ERY+FUS,1,0,0,1,1
AMP1+DOX3+FUS1,DOX3+TMP3,3,False,3186,,AMP+DOX+FUS,1,0,0,1,1
AMP1+DOX3+FUS2,DOX3+TMP3,3,False,3186,,AMP+DOX+FUS,1,0,0,1,1
AMP2+DOX3+FUS1,DOX3+TMP3,3,False,3186,,AMP+DOX+FUS,1,0,0,1,1
AMP2+DOX3+FUS2,DOX3+TMP3,3,False,3186,,AMP+DOX+FUS,1,0,0,1,1
AMP3+DOX3+FUS1,DOX3+TMP3,3,False,3186,,AMP+DOX+FUS,1,0,0,1,1
AMP3+DOX3+FUS2,DOX3+TMP3,3,False,3186,,AMP+DOX+FUS,1,0,0,1,1
CPR1+ERY1+FUS1,DOX3+TMP3,3,False,3186,,CPR+ERY+FUS,0,0,1,1,1
CPR1+ERY1+FUS2,DOX3+TMP3,3,False,3186,,CPR+ERY+FUS,0,0,1,1,1
CPR1+ERY2+FUS1,DOX3+TMP3,3,False,3186,,CPR+ERY+FUS,0,0,1,1,1
CPR1+ERY2+FUS2,DOX3+TMP3,3,False,3186,,CPR+ERY+FUS,0,0,1,1,1
CPR2+ERY1+FUS1,DOX3+TMP3,3,False,3186,,CPR+ERY+FUS,0,0,1,1,1
CPR2+ERY1+FUS2,DOX3+TMP3,3,False,3186,,CPR+ERY+FUS,0,0,1,1,1
CPR2+ERY2+FUS1,DOX3+TMP3,3,False,3186,,CPR+ERY+FUS,0,0,1,1,1
CPR3+ERY1+FUS1,DOX3+TMP3,3,False,3186,,CPR+ERY+FUS,0,0,1,1,1
CPR3+ERY1+FUS2,DOX3+TMP3,3,False,3186,,CPR+ERY+FUS,0,0,1,1,1
CPR1+DOX3+FUS1,DOX3+TMP3,3,False,3186,,CPR+DOX+FUS,0,0,1,1,1
CPR1+DOX3+FUS2,DOX3+TMP3,3,False,3186,,CPR+DOX+FUS,0,0,1,1,1
CPR2+DOX3+FUS1,DOX3+TMP3,3,False,3186,,CPR+DOX+FUS,0,0,1,1,1
CPR3+DOX3+FUS1,DOX3+TMP3,3,False,3186,,CPR+DOX+FUS,0,0,1,1,1
DOX3+ERY1+FUS1,DOX3+TMP3,3,False,3186,,DOX+ERY+FUS,0,0,0,1,1
DOX3+ERY1+FUS2,DOX3+TMP3,3,False,3186,,DOX+ERY+FUS,0,0,0,1,1
DOX3+ERY2+FUS1,DOX3+TMP3,3,False,3186,,DOX+ERY+FUS,0,0,0,1,1
AMP1+CPR1+ERY1+FUS1,DOX3+TMP3,4,False,3186,,AMP+CPR+ERY+FUS,1,0,1,1,1
AMP1+CPR1+ERY1+FUS2,DOX3+TMP3,4,False,3186,,AMP+CPR+ERY+FUS,1,0,1,1,1
AMP1+CPR1+ERY2+FUS1,DOX3+TMP3,4,False,3186,,AMP+CPR+ERY+FUS,1,0,1,1,1
AMP1+CPR1+ERY2+FUS2,DOX3+TMP3,4,False,3186,,AMP+CPR+ERY+FUS,1,0,1,1,1
AMP1+CPR2+ERY1+FUS1,DOX3+TMP3,4,False,3186,,AMP+CPR+ERY+FUS,1,0,1,1,1
AMP1+CPR2+ERY1+FUS2,DOX3+TMP3,4,False,3186,,AMP+CPR+ERY+FUS,1,0,1,1,1
AMP1+CPR2+ERY2+FUS1,DOX3+TMP3,4,False,3186,,AMP+CPR+ERY+FUS,1,0,1,1,1
AMP1+CPR3+ERY1+FUS1,DOX3+TMP3,4,False,3186,,AMP+CPR+ERY+FUS,1,0,1,1,1
AMP1+CPR3+ERY1+FUS2,DOX3+TMP3,4,False,3186,,AMP+CPR+ERY+FUS,1,0,1,1,1
AMP2+CPR1+ERY1+FUS1,DOX3+TMP3,4,False,3186,,AMP+CPR+ERY+FUS,1,0,1,1,1
AMP2+CPR1+ERY1+FUS2,DOX3+TMP3,4,False,3186,,AMP+CPR+ERY+FUS,1,0,1,1,1
AMP2+CPR1+ERY2+FUS1,DOX3+TMP3,4,False,3186,,AMP+CPR+ERY+FUS,1,0,1,1,1
AMP2+CPR1+ERY2+FUS2,DOX3+TMP3,4,False,3186,,AMP+CPR+ERY+FUS,1,0,1,1,1
AMP2+CPR2+ERY1+FUS2,DOX3+TMP3,4,False,3186,,AMP+CPR+ERY+FUS,1,0,1,1,1
AMP2+CPR2+ERY2+FUS1,DOX3+TMP3,4,False,3186,,AMP+CPR+ERY+FUS,1,0,1,1,1
AMP2+CPR3+ERY1+FUS1,DOX3+TMP3,4,False,3186,,AMP+CPR+ERY+FUS,1,0,1,1,1
AMP2+CPR3+ERY1+FUS2,DOX3+TMP3,4,False,3186,,AMP+CPR+ERY+FUS,1,0,1,1,1
AMP3+CPR1+ERY1+FUS1,DOX3+TMP3,4,False,3186,,AMP+CPR+ERY+FUS,1,0,1,1,1
AMP3+CPR1+ERY1+FUS2,DOX3+TMP3,4,False,3186,,AMP+CPR+ERY+FUS,1,0,1,1,1
AMP3+CPR1+ERY2+FUS2,DOX3+TMP3,4,False,3186,,AMP+CPR+ERY+FUS,1,0,1,1,1
AMP3+CPR2+ERY1+FUS2,DOX3+TMP3,4,False,3186,,AMP+CPR+ERY+FUS,1,0,1,1,1
AMP3+CPR2+ERY2+FUS1,DOX3+TMP3,4,False,3186,,AMP+CPR+ERY+FUS,1,0,1,1,1
AMP3+CPR3+ERY1+FUS2,DOX3+TMP3,4,False,3186,,AMP+CPR+ERY+FUS,1,0,1,1,1
AMP1+CPR1+DOX3+FUS1,DOX3+TMP3,4,False,3186,,AMP+CPR+DOX+FUS,1,0,1,1,1
AMP1+CPR1+DOX3+FUS2,DOX3+TMP3,4,False,3186,,AMP+CPR+DOX+FUS,1,0,1,1,1
AMP1+CPR2+DOX3+FUS1,DOX3+TMP3,4,False,3186,,AMP+CPR+DOX+FUS,1,0,1,1,1
AMP1+CPR3+DOX3+FUS1,DOX3+TMP3,4,False,3186,,AMP+CPR+DOX+FUS,1,0,1,1,1
AMP2+CPR1+DOX3+FUS1,DOX3+TMP3,4,False,3186,,AMP+CPR+DOX+FUS,1,0,1,1,1
AMP2+CPR1+DOX3+FUS2,DOX3+TMP3,4,False,3186,,AMP+CPR+DOX+FUS,1,0,1,1,1
AMP2+CPR2+DOX3+FUS1,DOX3+TMP3,4,False,3186,,AMP+CPR+DOX+FUS,1,0,1,1,1
AMP2+CPR3+DOX3+FUS1,DOX3+TMP3,4,False,3186,,AMP+CPR+DOX+FUS,1,0,1,1,1
AMP3+CPR1+DOX3+FUS1,DOX3+TMP3,4,False,3186,,AMP+CPR+DOX+FUS,1,0,1,1,1
AMP3+CPR1+DOX3+FUS2,DOX3+TMP3,4,False,3186,,AMP+CPR+DOX+FUS,1,0,1,1,1
AMP3+CPR2+DOX3+FUS1,DOX3+TMP3,4,False,3186,,AMP+CPR+DOX+FUS,1,0,1,1,1
AMP1+DOX3+ERY1+FUS1,DOX3+TMP3,4,False,3186,,AMP+DOX+ERY+FUS,1,0,0,1,1
AMP1+DOX3+ERY1+FUS2,DOX3+TMP3,4,False,3186,,AMP+DOX+ERY+FUS,1,0,0,1,1
AMP1+DOX3+ERY2+FUS1,DOX3+TMP3,4,False,3186,,AMP+DOX+ERY+FUS,1,0,0,1,1
AMP2+DOX3+ERY1+FUS1,DOX3+TMP3,4,False,3186,,AMP+DOX+ERY+FUS,1,0,0,1,1
AMP2+DOX3+ERY1+FUS2,DOX3+TMP3,4,False,3186,,AMP+DOX+ERY+FUS,1,0,0,1,1
AMP2+DOX3+ERY2+FUS1,DOX3+TMP3,4,False,3186,,AMP+DOX+ERY+FUS,1,0,0,1,1
AMP3+DOX3+ERY1+FUS1,DOX3+TMP3,4,False,3186,,AMP+DOX+ERY+FUS,1,0,0,1,1
AMP3+DOX3+ERY1+FUS2,DOX3+TMP3,4,False,3186,,AMP+DOX+ERY+FUS,1,0,0,1,1
AMP3+DOX3+ERY2+FUS1,DOX3+TMP3,4,False,3186,,AMP+DOX+ERY+FUS,1,0,0,1,1
CPR1+DOX3+ERY1+FUS2,DOX3+TMP3,4,False,3186,,CPR+DOX+ERY+FUS,0,0,1,1,1
CPR1+DOX3+ERY2+FUS2,DOX3+TMP3,4,False,3186,,CPR+DOX+ERY+FUS,0,0,1,1,1
AMP1+CPR1+DOX3+ERY1+FUS2,DOX3+TMP3,5,False,3186,,AMP+CPR+DOX+ERY+FUS,1,0,1,1,1
AMP1+CPR1+DOX3+ERY2+FUS2,DOX3+TMP3,5,False,3186,,AMP+CPR+DOX+ERY+FUS,1,0,1,1,1
AMP2+CPR1+DOX3+ERY1+FUS2,DOX3+TMP3,5,False,3186,,AMP+CPR+DOX+ERY+FUS,1,0,1,1,1
AMP2+CPR1+DOX3+ERY2+FUS2,DOX3+TMP3,5,False,3186,,AMP+CPR+DOX+ERY+FUS,1,0,1,1,1
AMP3+CPR1+DOX3+ERY1+FUS2,DOX3+TMP3,5,False,3186,,AMP+CPR+DOX+ERY+FUS,1,0,1,1,1
AMP3+CPR1+DOX3+ERY2+FUS2,DOX3+TMP3,5,False,3186,,AMP+CPR+DOX+ERY+FUS,1,0,1,1,1
FUS1+TMP3,DOX3+TMP3,2,False,3186,,FUS+TMP,0,1,0,1,0
FUS2+TMP3,DOX3+TMP3,2,False,3186,,FUS+TMP,0,1,0,1,0
AMP1+FUS1+TMP3,DOX3+TMP3,3,False,3186,,AMP+FUS+TMP,1,1,0,1,0
AMP1+FUS2+TMP3,DOX3+TMP3,3,False,3186,,AMP+FUS+TMP,1,1,0,1,0
AMP2+FUS1+TMP3,DOX3+TMP3,3,False,3186,,AMP+FUS+TMP,1,1,0,1,0
AMP2+FUS2+TMP3,DOX3+TMP3,3,False,3186,,AMP+FUS+TMP,1,1,0,1,0
AMP3+FUS1+TMP3,DOX3+TMP3,3,False,3186,,AMP+FUS+TMP,1,1,0,1,0
AMP3+FUS2+TMP3,DOX3+TMP3,3,False,3186,,AMP+FUS+TMP,1,1,0,1,0
CPR2+FUS1+TMP3,DOX3+TMP3,3,False,3186,,CPR+FUS+TMP,0,1,1,1,0
CPR2+ERY3+FUS1+TMP3,DOX3+TMP3,4,False,3186,,CPR+ERY+FUS+TMP,0,1,1,1,1
CPR3+FUS2+TMP1,DOX3+TMP3,3,False,3186,,CPR+FUS+TMP,0,1,1,1,0
ERY1+FUS1+TMP3,DOX3+TMP3,3,False,3186,,ERY+FUS+TMP,0,1,0,1,1
ERY1+FUS2+TMP3,DOX3+TMP3,3,False,3186,,ERY+FUS+TMP,0,1,0,1,1
ERY2+FUS1+TMP3,DOX3+TMP3,3,False,3186,,ERY+FUS+TMP,0,1,0,1,1
ERY2+FUS2+TMP3,DOX3+TMP3,3,False,3186,,ERY+FUS+TMP,0,1,0,1,1
ERY3+FUS1+TMP3,DOX3+TMP3,3,False,3186,,ERY+FUS+TMP,0,1,0,1,1
AMP1+CPR2+FUS1+TMP3,DOX3+TMP3,4,False,3186,,AMP+CPR+FUS+TMP,1,1,1,1,0
AMP1+CPR3+FUS2+TMP1,DOX3+TMP3,4,False,3186,,AMP+CPR+FUS+TMP,1,1,1,1,0
AMP2+CPR2+FUS1+TMP3,DOX3+TMP3,4,False,3186,,AMP+CPR+FUS+TMP,1,1,1,1,0
AMP2+CPR3+FUS2+TMP1,DOX3+TMP3,4,False,3186,,AMP+CPR+FUS+TMP,1,1,1,1,0
